Numero sentiero tratta;Competenza;Denominazione;Difficoltà;Località inizio;Località fine;Quota inizio;Quota fine;Quota minima;Quota massima;Lunghezza plaminetrica;Lunghezza inclinata;Tempo andata;Tempo ritorno;Gruppo montagne interessate;Comuni toccati,miovalore,cancellato
E101;"RIF. ALPE POZZA ""VINCENZO LANCIA""";;E;GIAZZERA;"RIFUGIO ""VINCENZO LANCIA"" (b.102-105-120-132)";1095;1802;1095;1802;6890;6980;02:40;02:00;PASUBIO - COLSANTO;Trambileno,10,0
E102;"RIF. ALPE POZZA ""VINCENZO LANCIA""";;E;ANGHEBENI (b.143);"RIFUGIO ""VINCENZO LANCIA"" (b.101-105-120-132)";649;1802;649;1900;9760;9900;04:10;03:10;PASUBIO - COLSANTO;Vallarsa, Trambileno,20,0
E102A;SEZ. SAT ROVERETO;;E;POZZA RIONDA (b. 101);pr. BOCCHETTA  DEI FOXI (b.102);1653;1749;1653;1965;3540;3600;01:20;01:20;PASUBIO - COLSANTO;Trambileno,17,0
E102B;SEZ. SAT ROVERETO;;E;QUOTA 1910 DEL MONTE TESTO (b.102A);A O DELLA BOCCH. DELLE CORDE(b.102);1910;1900;1900;1910;340;350;00:10;00:10;PASUBIO - COLSANTO;Trambileno,10,0
E103;"RIF. FINONCHIO ""F.LLI FILZI""";;E;MOIETTO;ZOM - Prà del Finonchio (b.104-107);924;1577;924;1577;3780;3860;02:00;01:30;FINONCHIO - MONTE MAGGIO;Rovereto,18,0
E104;"RIF. FINONCHIO ""F.LLI FILZI""";;E;SERRADA (b.136-137-140);"RIF. FINONCHIO ""FRATELLI FILZI""";1270;1589;1270;1589;4260;4300;01:20;01:10;FINONCHIO - MONTE MAGGIO;Folgaria, Terragnolo, Rovereto,14,0
E104B;"RIF. FINONCHIO ""F.LLI FILZI""";;E;GUARDIA;QUOTA 1372 (b.104);970;1372;970;1376;2110;2200;01:20;01:00;FINONCHIO - MONTE MAGGIO;Folgaria,12,0
E105;"RIF. ALPE POZZA ""VINCENZO LANCIA""";;E;"RIFUGIO ""VINCENZO LANCIA"" (b.101-102-120-132)";"RIFUGIO GENERALE ""ACHILLE PAPA"" (b.120)";1802;1925;1802;2232;7770;7890;03:00;03:00;PASUBIO - COLSANTO;Trambileno, Vallarsa,11,0
E105B;"RIF. ALPE POZZA ""VINCENZO LANCIA""";;E;SELLETTA PICCOLO ROITE (b.105);SELLETTA DEL GROVIGLIO (b.120);2111;2077;2077;2111;240;250;00:10;00:10;PASUBIO - COLSANTO;Trambileno,15,0
E106;SEZ. SAT ALA;;E;VAL FREDDA;MALGA LAVACCHIONE;298;1402;298;1402;7580;7670;03:45;02:45;MONTI LESSINI;Ala,16,0
E107;"RIF. FINONCHIO ""F.LLI FILZI""";SENTIERO DELLA PRADECIM;E;PORNAL - presso Diéneri;ZOM - Prà del Finonchio (b.103-104);1134;1577;1134;1577;2470;2540;01:30;01:00;FINONCHIO - MONTE MAGGIO;Terragnolo, Rovereto,14,0
E108;SEZ. SAT ALA;;E;RONCHI DI ALA (b.114);STRADA PER PASSO PERTICA (b.109);711;1580;711;2238;12900;13210;07:00;06:10;CAREGA - PICCOLE DOLOMITI;Ala,14,0
E108B;SEZ. SAT ALA;SENTIERO DEL VALLON DELLA TELEFERICA;E;STRADA DI CAMPOBRUN (b.109);"RIFUGIO ""MARIO FRACCAROLI"" (b.108-157)";1661;2238;1661;2238;2400;2470;01:30;01:10;CAREGA - PICCOLE DOLOMITI;Ala,12,0
E109;SEZ. SAT ALA;;E;BIVIO PER SCHINCHERI (b.108);VERSANTE S BOCCHETTA DEI FONDI (b.157);830;1985;819;1985;9770;9960;04:20;03:30;CAREGA - PICCOLE DOLOMITI;Ala,13,0
E110;SEZ. SAT ALA;;E;BRUSTOLOTTI DI ALA;BOCCA GAIBANA;211;1588;211;1588;13100;13220;05:00;04:00;MONTI LESSINI;Ala,10,0
E111;SEZ. SAT ALA;;E;ALA;VERSANTE S DEL MONTE CASTELBERTO;211;1765;211;1765;7210;7420;04:30;03:20;MONTI LESSINI;Ala,20,0
E112;SEZ. SAT ALA;;E;QUOTA 1500 (b.113);ex MALGA BAROGNOL;1500;1205;1205;1500;5790;5820;02:10;02:30;MONTI LESSINI;Ala,14,0
E113;SEZ. SAT ALA;;E;ALA;RIFUGIO PODESTERIA;211;1655;211;1655;8200;8410;04:40;03:30;MONTI LESSINI;Ala,15,0
E114;SEZ. SAT ALA;SENTIERO DELLE CRESTINE;E;RONCHI DI ALA (b.108);DORSALE SE DI CIMA LEVANTE (b.115);711;1952;711;2020;6490;6690;04:10;03:00;CAREGA - PICCOLE DOLOMITI;Ala,17,0
E114B;SEZ. SAT ALA;;E;VAL DI GATTO (b.115);CASARINO (b.108);1550;1667;1550;1667;1600;1640;00:40;00:30;CAREGA - PICCOLE DOLOMITI;Ala,16,0
E115;SEZ. SAT ROVERETO, SEZ. SAT ALA;;E;MARCO;PALA DI CHERLE (b.108);180;1860;180;1952;19700;20050;08:30;07:10;CAREGA - PICCOLE DOLOMITI;Rovereto, Ala,14,0
E116;SEZ. SAT ALA;;E;CUMERLOTTI - SS 12 Km 340,5;PASSO BUOLE - pr. baitella (b.115);147;1460;147;1460;8700;8840;04:10;03:10;CAREGA - PICCOLE DOLOMITI;Ala,16,0
E117;SEZ. SAT ROVERETO;;E;RIVA DI VALLARSA;PASSO BUOLE - pr. cappella (b.115);710;1465;710;1465;2920;3040;02:00;01:20;CAREGA - PICCOLE DOLOMITI;Vallarsa,20,0
E118;GRUPPO SAT VALLARSA (Sez. Rovereto);SENTER DEL FIL;E;MATASSONE;RIFUGIO MONTE ZUGNA (b.115);838;1617;838;1617;3700;3800;02:30;01:30;CAREGA - PICCOLE DOLOMITI;Vallarsa, Rovereto,11,0
E119;SEZ. SAT ROVERETO;;E;POZZACCHIO;PIAN DI CHESERLE (b.101-122-132B);793;1378;793;1395;3610;3700;02:00;01:30;PASUBIO - COLSANTO;Trambileno,10,0
E119B;SEZ. SAT ROVERETO;;E;pr. MALGA MONTICELLO (b.119);SELLETTA BATTISTI (b.122-122C);1395;1725;1395;1725;4140;4190;01:30;01:15;PASUBIO - COLSANTO;Trambileno, Vallarsa,12,0
E120;"RIF. ALPE POZZA ""VINCENZO LANCIA""";;E;"RIFUGIO ""VINCENZO LANCIA"" (b.101-102-105-132)";"RIFUGIO GENERALE ""ACHILLE PAPA"" (b.105)";1802;1925;1802;2077;7400;7500;02:30;02:30;PASUBIO - COLSANTO;Trambileno,16,0
E121;SEZ. SAT ROVERETO;;E;SORGENTE (b.147);QUOTA 1975 (b.120);1828;1975;1828;1975;1100;1130;00:30;00:20;PASUBIO - COLSANTO;Trambileno,17,0
E121A;SEZ. SAT ROVERETO;;E;QUOTA 1830 (b.121);QUOTA 1974 (b.120);1830;1974;1830;1974;740;770;00:30;00:20;PASUBIO - COLSANTO;Trambileno,17,0
E122;SEZ. SAT ROVERETO;;E;BOCCALDO DI TRAMBILENO;SELLETTA BATTISTI (b.119B-122C);662;1725;662;1725;6990;7140;03:50;02:40;PASUBIO - COLSANTO;Vallarsa, Trambileno,16,0
E122A;SEZ. SAT ROVERETO;;E;VALMORBIA;SELLA DELLA TRAPPOLA (b.122B-122C-143);670;1425;670;1425;2900;3010;02:00;01:30;PASUBIO - COLSANTO;Vallarsa, Trambileno,10,0
E122B;SEZ. SAT ROVERETO;;EEA;VALLE DEI FOXI (b.102);SELLA DELLA TRAPPOLA (b.122A-122C-143);766;1425;766;1425;3120;3200;02:00;01:20;PASUBIO - COLSANTO;Vallarsa,17,0
E122C;SEZ. SAT ROVERETO;VIA FERRATA FRANCO GALLI VF - EEA-F;EEA-F;SELLA DELLA TRAPPOLA (b.122A-122B-143);SELLETTA BATTISTI (b.119B-122-143);1425;1720;1425;1720;1310;1350;01:30;01:00;PASUBIO - COLSANTO;Vallarsa, Trambileno,11,0
E123;SEZ. SAT ROVERETO;;E;TEZZE (b.122A);VALICO DEL MENDERLE (b.119B);788;1679;788;1679;2000;2190;02:30;01:50;PASUBIO - COLSANTO;Vallarsa,10,0
E124;SEZ. SAT FOLGARIA, SEZ. SAT ROVERETO;;E;CARBONARE;PASSO DELLA BORCOLA (b.147);1076;1219;1076;1873;17440;17630;06:30;06:30;FINONCHIO - MONTE MAGGIO;Folgaria, Terragnolo,17,0
E131;"RIF. ALPE POZZA ""VINCENZO LANCIA""";;E;MALGA COSTONI (b.131A);"SORGENTE pr. Rifugio ""V. Lancia"" (b.105-120)";1637;1805;1637;2110;4220;4330;02:00;01:50;PASUBIO - COLSANTO;Trambileno,14,0
E131A;SEZ. SAT ROVERETO;SENTIERO FAUSTO ANDRIGHETTONI;E;MALGA COSTONI (b.131);ALPE POZZE (b.120);1637;1877;1637;2090;6620;6710;02:50;02:40;PASUBIO - COLSANTO;Trambileno,12,0
E132;SEZ. SAT ROVERETO;SENTER DELLE ULL;E;QUOTA 1280 (b.101);"RIFUGIO ""VINCENZO LANCIA"" (b.101-102-105-120)";1280;1802;1280;1837;5240;5330;02:10;01:40;PASUBIO - COLSANTO;Trambileno,14,0
E132B;SEZ. SAT ROVERETO;SENTER DELLE PALE;E;PIAN DI CHESERLE (b.101-119-122);pr. ALPE ALBA (b.132);1365;1837;1365;1837;2180;2250;01:20;01:00;PASUBIO - COLSANTO;Trambileno,11,0
E133;SEZ. SAT ROVERETO;;E;STRADA DELLE MALGHE (b.133A);SELLA DELLE POZZE (b.120);1775;1903;1670;1903;3770;3830;01:30;01:00;PASUBIO - COLSANTO;Trambileno,20,0
